[0424/143115:ERROR:ipc_channel_win.cc(512)] pipe error: 232
[0426/093630:ERROR:dns_config_service_win.cc(759)] DNS config watch failed.
[0426/141104:ERROR:dns_config_service_win.cc(759)] DNS config watch failed.
[0426/183603:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183607:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183608:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183612:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183614:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183617:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183619:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183622:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183624:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183627:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183629:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183632:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183634:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183637:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183639:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183642:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183644:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183647:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183649:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183652:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183654:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183657:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183659:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183702:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183704:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183707:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183709:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183712:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183714:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183717:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183719:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183722:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183724:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183727:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183729:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183732:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183734:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183737:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183739:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183742:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183744:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183747:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183749:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183752:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183754:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183757:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183759:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183802:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183804:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183807:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183809:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183812:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183814:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183817:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183819:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183822:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183824:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183827:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183829:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183832:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183834:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183837:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183839:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183842:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183844:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183847:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183849:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183852:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183854:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183857:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183859:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183902:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183904:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183907:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183909:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183912:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183914:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183917:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183919:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183922:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183924:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183927:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183929:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183932:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183934:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183937:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183939:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183942:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183944:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183947:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183949:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183953:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183954:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183958:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/183959:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184003:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184004:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184008:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184010:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184013:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184015:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184018:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184020:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184023:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184025:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184028:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184030:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184033:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184035:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184038:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184040:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184043:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184045:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184048:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184050:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184053:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184055:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184058:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184100:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184103:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184105:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184108:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184110:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184113:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184115:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184118:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184120:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184123:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184125:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184128:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184130:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184133:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184135:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184138:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184140:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184143:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184145:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184148:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184150:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184153:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184155:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184158:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184200:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184203:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184205:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184208:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184210:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184213:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184215:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184218:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184220:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184223:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184225:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184228:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184230:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184233:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184235:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184238:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184240:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184243:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184245:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184248:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184250:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184253:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184255:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184258:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184300:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184303:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184305:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184308:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184310:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184313:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184315:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184318:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184320:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184323:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184325:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184328:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184330:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184333:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184335:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184338:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184340:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184343:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184345:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184348:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184350:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184353:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184355:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184359:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184400:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184404:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184405:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184409:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184410:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184414:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184415:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184419:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0426/184420:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
